"order","id","slug","title","readiness","changed_fields","changed_field_count","risk","drift","conflicts","warnings","unresolved_fields","becomes_historical","slug_semantically_stale"
"11","batch-tt-cierru-los-pinos-2026-07-25","tt-cierru-los-pinos-2026-07-25","TT Cierru Los Pinos 2026","ready_with_warnings","[""address"",""confidence_score"",""image_source_url"",""long_description"",""official_url"",""organizer_name"",""organizer_url"",""schedule_text"",""short_description"",""source"",""source_type"",""source_url"",""verified_at""]","13","low","[]","[]","[""5 campos o decisiones siguen sin resolver.""]","[""registration_url"",""latitude"",""longitude"",""image_url"",""detailed_program""]","false","false"
"12","batch-la-reconquista-motera-2026-07-25","la-reconquista-motera-2026-07-25","II Concentración Motera La Reconquista 2026","ready_with_warnings","[""address"",""confidence_score"",""image_source_url"",""long_description"",""official_url"",""organizer_name"",""organizer_url"",""registration_url"",""schedule_text"",""short_description"",""source"",""source_url"",""title"",""venue"",""verified_at""]","15","medium","[]","[]","[""3 campos o decisiones siguen sin resolver.""]","[""latitude"",""longitude"",""image_url""]","false","false"
"13","batch-xiii-concentracion-vehiculos-clasicos-ciudad-sagunto-2026-07-26","xiii-concentracion-vehiculos-clasicos-ciudad-sagunto-2026-07-26","XII Concentración de Coches y Motos Clásicos Ciudad de Sagunto 2026","ready_with_warnings","[""address"",""championship"",""confidence_score"",""image_source_url"",""long_description"",""needs_review"",""official_url"",""organizer_name"",""organizer_url"",""schedule_text"",""short_description"",""source"",""source_type"",""source_url"",""title"",""verified_at""]","16","medium","[]","[]","[""El slug conserva la edición anterior del título."",""4 campos o decisiones siguen sin resolver.""]","[""registration_url"",""latitude"",""longitude"",""image_url""]","false","true"
"14","batch-enduro-comunidad-madrid-ibio-2026-07-26","enduro-comunidad-madrid-ibio-2026-07-26","XI Enduro Cueva del Oso – Sierra de Ibio 2026","ready_with_warnings","[""championship"",""confidence_score"",""image_source_url"",""long_description"",""official_url"",""organizer_name"",""registration_url"",""schedule_text"",""short_description"",""source"",""source_url"",""title"",""venue"",""verified_at""]","14","medium","[]","[]","[""null_no_borra:organizer_name"",""null_no_borra:organizer_url"",""El slug conserva una identidad anterior del evento."",""6 campos o decisiones siguen sin resolver."",""Contiene una limpieza explícita sujeta a precondición.""]","[""local_organizer"",""exact_event_address"",""latitude"",""longitude"",""image_url"",""sunday_start_time""]","false","true"
"15","batch-tandas-libres-curso-circuito-navarra-eventos-ceni-2026-07-26","tandas-libres-curso-circuito-navarra-eventos-ceni-2026-07-26","Tandas libres y curso Eventos Ceni – Circuito de Navarra 2026","ready_with_warnings","[""address"",""championship"",""confidence_score"",""image_source_url"",""long_description"",""needs_review"",""official_url"",""organizer_url"",""registration_url"",""schedule_text"",""short_description"",""source"",""source_type"",""source_url"",""title"",""verified_at""]","16","medium","[]","[]","[""3 campos o decisiones siguen sin resolver.""]","[""latitude"",""longitude"",""image_url""]","false","false"
"16","batch-tandas-libres-curso-jarama-easyrace-2026-07-26","tandas-libres-curso-jarama-easyrace-2026-07-26","Tandas libres y curso EasyRace – Jarama 2026","ready_with_warnings","[""address"",""championship"",""confidence_score"",""image_source_url"",""long_description"",""official_url"",""organizer_name"",""organizer_url"",""schedule_text"",""short_description"",""source"",""source_type"",""source_url"",""ticket_url"",""title"",""venue"",""verified_at""]","17","medium","[]","[]","[""5 campos o decisiones siguen sin resolver.""]","[""participant_registration_url"",""latitude"",""longitude"",""image_url"",""exact_briefing_and_track_schedule""]","false","false"
"17","batch-enduro-indoor-andalucia-olvera-2026-07-26","enduro-indoor-andalucia-olvera-2026-07-26","I Enduro Indoor Ciudad de Olvera 2026","ready_with_warnings","[""address"",""championship"",""confidence_score"",""end_date"",""image_source_url"",""long_description"",""needs_review"",""official_url"",""organizer_name"",""schedule_text"",""short_description"",""source"",""source_url"",""start_date"",""title"",""venue"",""verified_at""]","17","medium","[]","[]","[""null_no_borra:organizer_url"",""El slug conserva la fecha anterior 2026-07-26."",""5 campos o decisiones siguen sin resolver.""]","[""ticket_url"",""organizer_url"",""latitude"",""longitude"",""image_url""]","false","true"
"18","batch-campionato-galego-de-velocidade-a-madalena-julio-2026-07-26","campionato-galego-de-velocidade-a-madalena-julio-2026-07-26","Campionato Galego de Velocidade – A Madalena II 2026","ready_with_warnings","[""championship"",""confidence_score"",""image_source_url"",""long_description"",""needs_review"",""official_url"",""organizer_name"",""registration_url"",""schedule_text"",""short_description"",""source_type"",""source_url"",""title"",""venue"",""verified_at""]","15","medium","[]","[]","[""null_no_borra:organizer_url"",""6 campos o decisiones siguen sin resolver.""]","[""organizer_url"",""exact_event_address"",""latitude"",""longitude"",""image_url"",""competition_schedule""]","false","false"
"19","batch-xix-rallye-blendio-cristian-lopez-2026-07-31","xix-rallye-blendio-cristian-lopez-2026-07-31","XIX Rallye Blendio Cristian López 2026","ready_with_warnings","[""championship"",""confidence_score"",""image_source_url"",""long_description"",""official_url"",""organizer_url"",""registration_url"",""schedule_text"",""short_description"",""source"",""source_type"",""source_url"",""venue"",""verified_at""]","14","low","[]","[]","[""4 campos o decisiones siguen sin resolver.""]","[""single_exact_address"",""latitude"",""longitude"",""image_url""]","false","false"
"20","batch-xiv-concentracion-clasicos-coches-motos-alto-ason-2026-08-01","xiv-concentracion-clasicos-coches-motos-alto-ason-2026-08-01","XIV Concentración de Coches y Motos Clásicas del Alto Asón 2026","ready_with_warnings","[""confidence_score"",""image_source_url"",""long_description"",""organizer_name"",""organizer_url"",""schedule_text"",""short_description"",""source"",""source_type"",""source_url"",""title"",""venue"",""verified_at""]","13","medium","[]","[]","[""null_no_borra:official_url"",""8 campos o decisiones siguen sin resolver.""]","[""official_event_page"",""registration_url"",""exact_event_address"",""latitude"",""longitude"",""image_url"",""full_sunday_schedule"",""contact_phone_confirmation""]","false","false"
